Livsmedel 	Vikt (g)	Fibrer (g)	Energi kJ (kJ)	Energi kcal (kcal)	Protein (g)	Kolhydrat (g)	Alkohol (g)	Fett (g)	Mättade fettsyror (g)	Enkelomättade fettsyror (g)	Fleromättade fettsyror (g)	Fettsyra C4-C10 (g)	Fettsyra C12 (g)	Fettsyra C14 (g)	Fettsyra C16 (g)	Fettsyra C18 (g)	Fettsyra C20 (g)	Fettsyra C16:1 (g)	Fettsyra C18:1 (g)	Fettsyra C18:2 (g)	Fettsyra C18:3 (g)	Fettsyra C20:4 (g)	Fettsyra C20:5 (g)	Fettsyra C22:5 (g)	Fettsyra C22:6 (g)	Monosackarider (g)	Disackarider (g)	Sackaros (g)	Retinolekvivalent (µg)	Retinol (µg)	D vitamin (µg)	E vitamin (mg)	?-Tokoferol (mg)	Karoten (µg)	Tiamin (mg)	Riboflavin (mg)	Askorbinsyra (mg)	Niacinekvivalent (mg)	Niacin (mg)	Vitamin B6 (mg)	Vitamin B12 (µg)	Folat (µg)	Fosfor (mg)	Järn (mg)	Kalium (mg)	Kalcium (mg)	Magnesium (mg)	Natrium (mg)	Selen (µg)	Zink (mg)	Kolesterol (mg)	Aska (g)	Vatten (g)	Avfall (%)	
Fiskbullar konserv u buljong	100	0,0	273	65	6,4	6,2	0,0	1,6	0,3	0,6	0,6	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,5	0,4	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	40	40	0,32	0,18	0,18	0	0,04	0,04	0	2,2	1,0	0,06	0,60	4	100	0,10	205	58	11	860	20,0	0,40	35,0	1,8	84,0	0	
Fiskbullar panerade stekta	100	0,4	597	143	7,2	11,2	0,0	7,4	1,1	3,9	2,0	0,0	0,0	0,0	0,6	0,2	0,0	0,1	3,8	1,4	0,5	0,0	0,0	0,0	0,0	0,2	0,2	0,0	51	50	0,38	1,59	1,59	4	0,05	0,07	0	2,3	1,0	0,06	0,52	9	116	0,41	199	55	15	769	18,3	0,47	65,4	1,8	71,8	1	
Fiskburgare Mac Donalds	100	1,9	1 174	281	12,4	27,3	0,0	13,1	2,7	5,8	3,6	0,1	0,1	0,2	1,5	0,6	0,1	0,1	5,6	3,1	0,4	0,0	0,0	0,0	0,1	2,2	2,0	1,1	30	27	0,28	1,03	1,03	29	0,08	0,06	0	3,5	1,2	0,08	0,37	23	130	0,52	201	57	24	477	21,6	0,64	23,7	1,8	43,5	0	
Fiskfärs kokt	100	0,0	884	211	21,3	4,8	0,0	11,9	6,7	3,2	0,6	1,0	0,3	1,0	3,2	1,2	0,0	0,2	2,9	0,3	0,1	0,0	0,0	0,0	0,1	0,1	2,7	0,0	127	122	3,19	1,29	1,29	52	0,08	0,18	1	6,5	2,3	0,25	1,45	17	287	0,67	482	106	36	1 023	27,3	0,85	163,1	4,0	58,0	39	
Fiskgratäng m dillsås potatismos	100	0,7	418	100	8,8	8,7	0,0	3,1	1,3	1,1	0,4	0,2	0,1	0,2	0,6	0,2	0,0	0,0	1,0	0,2	0,1	0,0	0,0	0,0	0,1	0,2	1,0	0,1	14	14	0,31	0,50	0,50	10	0,04	0,06	3	3,0	1,3	0,14	0,44	7	125	0,31	305	51	17	249	8,8	0,43	24,9	1,5	77,2	10	
Fiskgratäng m potatismos o dillsås fryst tillagad	100	0,0	591	141	7,4	11,3	0,0	7,4	2,6	2,9	1,5	0,1	0,2	0,2	1,5	0,4	0,0	0,1	2,7	1,1	0,3	0,0	0,0	0,0	0,1	0,2	1,4	0,1	69	65	0,80	1,26	1,26	40	0,06	0,11	1	2,4	1,1	0,11	0,81	23	96	0,40	291	49	10	372	8,8	0,59	80,0	1,7	72,2	0	
Fiskgratäng m potatismos o räksås fryst tillagad	100	0,5	555	133	7,1	10,6	0,0	6,8	2,3	2,7	1,4	0,2	0,2	0,2	1,2	0,4	0,0	0,1	2,5	1,0	0,3	0,0	0,0	0,0	0,1	0,2	1,7	0,0	59	55	0,56	1,28	1,28	47	0,07	0,12	1	2,5	1,2	0,13	0,00	27	110	0,29	315	53	25	405	8,0	0,62	85,0	1,9	73,2	0	
Fiskgratäng m skaldjurssås o potatismos	100	0,5	454	109	9,5	11,1	0,0	2,7	1,0	1,0	0,5	0,1	0,0	0,1	0,5	0,2	0,0	0,0	0,9	0,3	0,1	0,0	0,0	0,0	0,1	0,2	1,0	0,1	28	22	0,39	0,61	0,61	47	0,04	0,06	1	3,3	1,5	0,11	0,66	7	127	0,97	319	67	25	519	11,9	0,65	38,1	2,2	73,9	8	
Fiskgratäng u potatismos hemlagad	100	0,1	478	114	11,4	4,5	0,0	5,6	2,2	2,1	0,8	0,2	0,2	0,2	1,0	0,5	0,0	0,1	1,9	0,5	0,1	0,0	0,0	0,0	0,1	0,0	0,2	0,0	61	58	0,96	0,10	0,10	35	0,08	0,12	0	3,8	1,7	0,24	0,80	12	167	0,40	260	60	20	425	14,0	0,60	81,0	1,9	76,5	0	
Fiskgryta m purjolök morötter fänkål ärter	100	1,8	437	104	13,1	2,7	0,0	4,2	0,5	2,3	1,3	0,0	0,0	0,0	0,2	0,1	0,0	0,0	2,2	0,8	0,3	0,0	0,0	0,0	0,1	0,9	1,0	1,0	73	2	0,51	1,34	1,34	757	0,09	0,07	5	4,2	1,8	0,15	0,56	21	147	0,69	331	34	23	395	14,8	0,46	35,0	2,0	76,2	25	
Fiskpaj	100	0,5	1 074	257	11,0	15,8	0,0	16,6	6,2	6,5	3,2	0,1	0,3	0,4	4,2	0,6	0,0	0,2	6,1	2,2	0,7	0,0	0,1	0,0	0,2	0,1	1,9	0,0	177	172	3,59	2,53	2,53	60	0,12	0,16	1	5,0	2,9	0,17	1,92	13	142	0,82	185	58	19	345	12,1	0,53	92,0	1,6	54,5	6	
Fiskpanetter fiskpinnar stekta	100	0,5	986	236	13,0	14,4	0,0	13,9	5,7	5,7	2,1	0,0	0,2	0,2	4,5	0,5	0,0	0,0	5,7	1,7	0,3	0,0	0,1	0,0	0,1	0,1	0,6	0,3	51	51	1,36	1,42	1,42	0	0,08	0,05	0	3,5	1,1	0,17	0,86	11	147	0,71	212	23	18	339	20,2	0,40	35,4	1,5	56,7	0	
Fiskpastej	100	0,0	1 506	360	12,6	9,4	0,0	30,6	3,2	13,7	11,0	0,0	0,0	0,2	2,1	0,6	0,1	0,3	12,2	7,8	2,9	0,0	0,2	0,0	0,2	0,0	0,0	0,0	100	100	1,50	5,50	5,50	0	0,33	0,46	0	3,1	0,8	0,10	4,00	6	330	1,00	100	43	15	2 000	10,0	3,00	18,0	8,0	39,4	0	
Fiskpaté m skaldjur	100	0,1	675	161	15,3	2,9	0,7	9,3	4,2	2,9	1,1	0,5	0,2	0,6	2,1	0,7	0,0	0,3	2,4	0,3	0,1	0,1	0,2	0,1	0,4	0,1	1,4	0,0	91	81	4,48	1,03	1,03	121	0,09	0,15	1	5,5	2,6	0,33	2,85	13	208	1,49	285	79	28	738	21,5	0,91	120,0	3,0	68,7	21	
Fiskpinnar råa frysta	100	0,5	798	191	12,9	14,2	0,0	9,0	3,6	3,6	1,3	0,0	0,1	0,1	3,1	0,3	0,0	0,0	3,6	1,0	0,1	0,0	0,1	0,0	0,1	0,1	0,6	0,3	2	2	0,75	0,75	0,75	0	0,09	0,06	0	3,5	1,1	0,21	1,00	15	146	0,70	210	23	18	300	20,0	0,40	35,0	1,4	62,0	0	
