Livsmedel 	Vikt (g)	Fibrer (g)	Energi kJ (kJ)	Energi kcal (kcal)	Protein (g)	Kolhydrat (g)	Alkohol (g)	Fett (g)	Mättade fettsyror (g)	Enkelomättade fettsyror (g)	Fleromättade fettsyror (g)	Fettsyra C4-C10 (g)	Fettsyra C12 (g)	Fettsyra C14 (g)	Fettsyra C16 (g)	Fettsyra C18 (g)	Fettsyra C20 (g)	Fettsyra C16:1 (g)	Fettsyra C18:1 (g)	Fettsyra C18:2 (g)	Fettsyra C18:3 (g)	Fettsyra C20:4 (g)	Fettsyra C20:5 (g)	Fettsyra C22:5 (g)	Fettsyra C22:6 (g)	Monosackarider (g)	Disackarider (g)	Sackaros (g)	Retinolekvivalent (µg)	Retinol (µg)	D vitamin (µg)	E vitamin (mg)	?-Tokoferol (mg)	Karoten (µg)	Tiamin (mg)	Riboflavin (mg)	Askorbinsyra (mg)	Niacinekvivalent (mg)	Niacin (mg)	Vitamin B6 (mg)	Vitamin B12 (µg)	Folat (µg)	Fosfor (mg)	Järn (mg)	Kalium (mg)	Kalcium (mg)	Magnesium (mg)	Natrium (mg)	Selen (µg)	Zink (mg)	Kolesterol (mg)	Aska (g)	Vatten (g)	Avfall (%)	
Musslor konserv u lag	100	0,0	400	96	15,8	2,3	0,0	2,5	0,4	0,5	0,6	0,0	0,0	0,0	0,2	0,1	0,0	0,1	0,1	0,0	0,0	0,1	0,2	0,0	0,1	0,0	0,0	0,0	84	84	0,00	1,20	1,20	0	0,02	0,24	0	5,1	2,2	0,08	10,00	18	310	7,40	140	71	50	390	60,0	3,60	78,0	2,4	77,0	0	
Måltidsdricka äpple lingon berik drickf	100	0,0	134	32	0,0	7,9	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,7	4,8	4,8	0	0	0,00	0,00	0,00	3	0,00	0,00	8	0,0	0,0	0,00	0,00	1	3	0,00	48	3	2	4	0,0	0,00	0,0	0,1	92,0	0	
Måltidsersättning chokladsmak pulver Nutrilett Intensiv	100	11,6	1 575	377	35,0	32,6	0,0	9,0	2,3	1,9	4,4	0,0	0,1	0,0	1,4	0,6	0,0	0,0	1,9	4,0	0,4	0,0	0,0	0,0	0,0	29,1	1,5	0,3	890	890	3,80	10,30	10,30	3	1,06	1,51	42	18,8	13,0	1,90	1,63	207	663	16,60	1 504	349	294	1 141	51,6	10,02	2,0	8,1	3,7	0	
Mördeg gräddad	100	1,3	2 121	507	5,6	42,7	0,0	34,9	14,0	14,6	5,9	0,1	0,8	0,5	10,0	1,1	0,0	0,0	14,5	4,7	1,8	0,0	0,0	0,0	0,0	0,0	7,0	6,3	349	349	4,26	4,91	4,91	4	0,19	0,06	1	2,9	2,0	0,13	0,12	12	74	0,75	65	13	13	251	2,1	0,43	37,7	0,9	14,7	0	
Mörk blockchoklad	100	0,0	2 327	556	5,6	59,8	0,0	32,8	30,1	1,0	0,3	1,8	14,8	5,4	3,3	4,7	0,1	0,0	1,0	0,3	0,0	0,0	0,0	0,0	0,0	0,1	47,6	45,2	20	20	0,00	0,29	0,29	2	0,02	0,11	0	1,5	0,6	0,07	0,00	14	152	13,30	408	39	114	3	1,7	1,70	2,0	1,4	0,4	0	
Mörk choklad <70% kakao	100	0,0	2 245	537	6,3	63,1	0,0	28,8	16,5	9,2	1,7	0,0	0,0	0,1	6,8	9,1	0,3	0,1	9,1	1,5	0,1	0,0	0,0	0,0	0,0	0,0	45,5	45,5	22	20	0,00	0,60	0,60	14	0,02	0,07	0	1,6	0,6	0,08	0,00	16	173	7,90	433	44	121	4	3,4	1,99	3,8	1,5	0,4	0	
Mörk choklad, >70 % kakao	100	0,0	2 395	572	9,7	50,7	0,0	37,0	22,5	11,8	1,1	0,0	0,0	0,1	9,1	12,7	0,4	0,1	11,7	1,1	0,1	0,0	0,0	0,0	0,0	0,0	22,1	22,1	22	20	0,00	0,66	0,66	16	0,02	0,08	0	2,5	0,9	0,09	0,00	22	230	15,20	654	55	174	12	4,6	2,89	3,1	2,3	0,4	0	
Mörkt bröd glutenfritt ca 6% fibrer	100	6,1	1 210	289	0,6	54,6	0,0	6,1	0,9	1,4	3,5	0,0	0,0	0,0	0,6	0,3	0,0	0,0	1,3	3,1	0,4	0,0	0,0	0,0	0,0	6,1	0,4	0,1	0	0	0,00	0,47	0,47	0	0,02	0,05	0	0,8	0,7	0,11	0,00	28	18	1,94	290	77	4	177	0,0	0,14	0,0	1,3	31,4	0	
Napoleonbakelse grädde vaniljkräm hallonsylt glasyr	100	1,2	1 459	349	3,2	37,2	0,0	20,6	11,1	6,7	1,6	1,0	0,8	1,3	6,1	1,5	0,1	0,2	6,3	1,2	0,3	0,0	0,0	0,0	0,0	2,5	12,7	10,5	258	248	0,10	2,03	2,03	123	0,03	0,30	0	1,1	0,3	0,03	0,13	12	57	0,27	101	42	8	159	1,0	0,25	33,2	0,8	37,1	0	
Nasi Goreng griskött restaurang	100	1,6	734	176	7,9	18,8	0,0	7,2	1,4	3,0	2,5	0,0	0,0	0,0	0,9	0,4	0,0	0,1	2,9	2,3	0,2	0,0	0,0	0,0	0,0	0,5	0,6	0,6	18	15	0,10	1,92	1,92	33	0,10	0,07	6	2,7	1,3	0,10	0,21	26	60	0,44	143	13	10	488	4,4	0,90	54,8	1,0	63,5	0	
Nektarin	100	0,4	236	56	0,9	11,7	0,0	0,5	0,0	0,2	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,2	0,0	0,0	0,0	0,0	0,0	3,7	7,7	7,7	4	0	0,00	1,80	1,80	49	0,02	0,04	5	0,2	0,1	0,02	0,00	4	16	0,20	210	5	8	0	0,2	0,10	0,0	0,5	86,0	9	
Njure nöt	100	0,0	473	113	15,8	0,9	0,0	5,1	2,1	1,3	0,3	0,0	0,0	0,1	1,0	1,0	0,0	0,1	1,2	0,2	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	211	205	1,00	0,30	0,30	68	0,39	3,60	9	11,1	8,2	0,43	31,00	80	230	7,20	189	15	10	195	124,0	1,60	375,0	1,2	77,0	10	
Njurpalt	100	2,3	641	153	8,3	24,6	0,0	1,7	0,4	0,2	0,6	0,0	0,0	0,0	0,3	0,1	0,0	0,0	0,2	0,5	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	116	115	0,30	0,30	0,30	10	0,20	0,38	0	4,2	2,7	0,16	18,90	10	84	3,30	245	10	20	390	18,0	3,30	48,0	1,1	62,0	0	
Njurstuvning	100	0,4	537	128	10,6	3,1	0,3	7,9	3,1	2,8	1,1	0,0	0,1	0,1	1,9	0,7	0,0	0,0	2,8	0,8	0,3	0,1	0,0	0,0	0,0	0,2	0,3	0,0	86	84	0,83	0,74	0,74	26	0,25	1,27	9	6,6	4,7	0,16	16,49	30	190	3,28	258	23	17	403	55,1	1,52	221,5	1,9	75,9	5	
Nudelsoppa olika smaker kryddad	100	2,5	340	81	1,9	9,4	0,0	3,5	1,1	1,0	0,2	0,0	0,0	0,0	1,0	0,1	0,0	0,0	0,9	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,5	0,2	0	0	0,00	0,40	0,40	0	0,24	0,01	0	0,6	0,2	0,02	0,00	10	22	0,26	34	80	7	369	0,6	0,22	0,0	1,1	81,6	0	
Nudelsoppa risnudlar curry sesamolja	100	0,5	216	52	0,7	10,3	0,0	0,7	0,3	0,3	0,1	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,2	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,2	0	0	0,00	0,05	0,05	0	0,00	0,00	0	0,2	0,0	0,01	0,00	10	37	0,40	5	19	5	262	0,2	0,32	0,0	0,7	87,2	0	
Nypon u frön torkade	100	12,0	1 374	328	3,7	68,4	0,0	1,4	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	55,0	6,0	6,0	583	0	0,00	0,00	0,00	7 000	0,05	0,30	270	2,1	1,5	0,00	0,00	2	123	4,20	1 600	310	240	8	0,5	0,60	0,0	5,4	9,1	0	
Nypondryck berik	100	0,1	171	41	0,1	9,7	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,5	8,1	8,1	10	0	0,00	0,00	0,00	120	0,01	0,02	18	0,1	0,1	0,00	0,00	1	6	0,10	26	12	2	7	0,1	0,00	0,0	0,0	90,0	0	
Nyponsoppa pastöriserad el på pulver berik ätf	100	0,5	217	52	0,2	12,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,4	9,1	9,1	11	0	0,00	0,10	0,10	128	0,01	0,02	28	0,1	0,1	0,01	0,00	1	7	0,10	28	15	6	9	0,1	0,00	0,0	0,1	87,0	0	
Nyponsoppa pulver berik	100	5,0	1 608	384	0,7	91,1	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	68,0	68,0	48	0	0,00	0,00	0,00	580	0,01	0,24	190	0,4	0,3	0,00	0,00	0	35	1,30	469	155	39	32	0,4	0,10	0,0	1,2	1,8	0	
Nyponsoppa på pulver osötad berik ätf	100	0,3	83	20	0,2	4,3	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,8	0,0	0,0	10	0	0,00	0,10	0,10	120	0,01	0,02	24	0,1	0,1	0,01	0,00	0	7	0,10	28	13	4	9	0,0	0,00	0,0	0,1	95,0	0	
Nyponte m svarta vinbär drickf	100	0,0	12	3	0,0	0,7	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0	0	0,00	0,00	0,00	0	0,00	0,00	0	0,0	0,0	0,00	0,00	0	0	0,00	16	0	0	0	0,0	0,00	0,0	0,1	99,2	0	
Nässelsoppa	100	0,7	141	34	1,4	1,9	0,0	2,1	0,3	1,2	0,6	0,0	0,0	0,0	0,1	0,1	0,0	0,0	1,2	0,4	0,2	0,0	0,0	0,0	0,0	0,2	0,1	0,0	37	0	0,00	0,81	0,81	440	0,08	0,05	20	1,0	0,8	0,04	0,00	26	25	1,73	113	83	16	228	0,1	0,29	0,0	1,4	92,5	2	
Nässelstuvning	100	2,9	423	101	5,5	5,9	0,0	5,6	2,4	2,0	1,0	0,1	0,1	0,2	1,5	0,3	0,0	0,0	2,0	0,6	0,4	0,0	0,0	0,0	0,0	0,7	1,8	0,1	185	49	0,51	1,70	1,70	1 627	0,12	0,11	53	1,7	0,7	0,13	0,13	94	120	6,81	491	371	63	257	1,0	1,32	3,4	2,9	77,3	7	
Nässlor	100	4,1	210	50	5,9	3,0	0,0	0,7	0,1	0,0	0,4	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,3	0,0	0,0	0,0	0,0	1,1	0,2	0,2	200	0	0,00	1,64	1,64	2 400	0,20	0,15	175	1,8	0,8	0,28	0,00	194	126	10,00	640	490	86	116	0,5	1,70	0,0	3,3	83,0	10	
Nätmelon	100	1,0	155	37	0,9	7,1	0,0	0,3	0,1	0,0	0,1	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	2,0	3,0	3,0	92	0	0,00	0,10	0,10	1 100	0,04	0,02	42	0,8	0,6	0,12	0,00	17	17	0,20	310	11	11	9	0,0	0,20	0,0	0,7	90,0	49	
Nöt levergryta äpple potatis lök tomat	100	1,4	365	87	6,2	10,8	0,0	1,7	0,3	0,7	0,5	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,6	0,3	0,1	0,0	0,0	0,0	0,0	2,9	0,9	0,9	3 664	3 626	0,03	0,77	0,77	464	0,08	0,77	13	4,9	3,8	0,21	18,26	423	115	2,74	358	9	23	201	4,1	1,26	76,6	1,4	78,3	11	
Nöt- och chokladkräm Nutella	100	4,9	2 200	526	5,8	56,9	0,0	29,6	9,2	15,8	3,4	0,0	0,1	0,2	7,4	1,4	0,1	0,1	15,7	3,3	0,1	0,0	0,0	0,0	0,0	0,0	57,3	47,7	0	0	0,63	7,80	7,80	3	0,01	0,28	0	1,4	0,5	0,14	0,20	24	178	2,30	476	124	76	28	5,0	0,12	2,0	1,5	1,4	0	
Nötköttgryta lök purjolök morötter	100	1,4	462	110	7,8	4,2	0,0	6,7	2,4	3,2	0,8	0,0	0,0	0,1	1,2	0,9	0,0	0,1	2,9	0,5	0,2	0,0	0,0	0,0	0,0	2,4	1,0	1,0	93	5	0,21	0,83	0,83	925	0,04	0,07	7	3,9	2,4	0,15	0,32	27	83	1,61	277	27	17	288	3,8	1,79	18,9	1,5	78,4	20	
Nötköttgryta lök tomat morötter rotselleri i lergryta	100	1,3	361	86	11,1	3,4	0,0	2,8	0,9	1,3	0,4	0,0	0,0	0,0	0,5	0,3	0,0	0,1	1,2	0,3	0,1	0,0	0,0	0,0	0,0	1,3	1,0	1,0	84	2	0,24	0,56	0,56	853	0,05	0,12	3	4,2	2,2	0,15	0,37	18	116	1,99	314	21	18	128	4,0	2,55	25,3	1,2	80,2	15	
Nötlever	100	0,0	530	127	20,0	4,4	0,0	3,1	1,0	0,7	0,6	0,0	0,0	0,0	0,5	0,5	0,0	0,1	0,5	0,2	0,0	0,2	0,1	0,1	0,0	0,0	0,0	0,0	14 279	14 200	0,13	0,80	0,80	950	0,29	4,20	29	14,9	11,2	1,00	110,00	2 300	345	9,40	285	8	34	82	15,0	4,00	300,0	1,5	71,0	7	
Nötlever ej panerad stekt	100	0,0	724	173	27,3	6,0	0,0	4,2	1,4	0,9	0,8	0,0	0,0	0,0	0,7	0,6	0,0	0,1	0,7	0,2	0,0	0,2	0,1	0,1	0,0	0,0	0,0	0,0	19 516	19 408	0,18	1,09	1,09	1 298	0,28	4,59	32	20,3	15,3	1,09	120,27	2 358	473	12,86	390	13	47	744	20,5	5,47	410,0	3,6	58,8	10	
Nötlever panerad stekt	100	0,2	887	212	24,8	10,6	0,0	7,7	1,7	3,2	1,9	0,0	0,0	0,0	0,8	0,7	0,0	0,1	3,0	1,0	0,4	0,2	0,1	0,1	0,0	0,0	0,1	0,0	17 169	17 074	0,16	1,95	1,95	1 142	0,27	4,05	28	18,3	13,8	0,98	105,82	2 075	424	11,40	352	13	43	683	18,2	4,87	360,7	3,3	53,5	8	
Oliver gröna inlagda	100	2,4	540	129	1,4	1,6	0,0	12,7	1,8	8,9	1,4	0,0	0,0	0,0	1,5	0,3	0,1	0,1	8,7	1,3	0,1	0,0	0,0	0,0	0,0	0,1	0,2	0,2	23	0	0,00	0,10	0,10	280	0,00	0,00	0	0,2	0,0	0,02	0,00	10	17	1,60	55	61	22	2 400	0,5	0,20	0,0	6,4	75,5	0	
Oliver svarta m olja konserv	100	4,0	1 483	354	2,2	4,8	0,0	36,0	5,0	25,0	4,0	0,0	0,0	0,0	4,1	0,8	0,1	0,4	24,7	3,8	0,2	0,0	0,0	0,0	0,0	0,6	1,2	1,2	3	0	0,00	0,10	0,10	40	0,00	0,00	0	0,4	0,0	0,01	0,00	10	29	1,60	55	61	22	3 300	0,5	0,20	0,0	9,5	43,5	0	
Olivolja	100	0,0	3 700	884	0,0	0,0	0,0	100,0	14,4	72,1	9,1	0,0	0,0	0,0	11,0	2,7	0,5	0,9	70,6	8,4	0,7	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2	0	0,00	11,90	11,90	25	0,00	0,00	0	0,0	0,0	0,00	0,00	0	1	0,40	0	0	0	1	0,0	0,10	0,0	0,0	0,0	0	
Orientalisk sås Uncle Ben	100	1,4	379	91	1,1	10,1	0,0	4,8	1,4	1,0	1,4	0,1	0,4	0,2	0,5	0,2	0,0	0,0	1,0	1,4	0,0	0,0	0,0	0,0	0,0	2,4	4,6	4,1	65	4	0,00	3,25	3,25	573	0,05	0,04	1	0,6	0,5	0,10	0,00	21	27	0,40	151	22	9	506	0,5	0,18	0,0	1,6	81,0	0	
Ost hårdost 10% fett	100	0,0	946	226	32,4	1,5	0,0	10,0	6,6	2,3	0,2	1,0	0,3	1,0	2,9	1,2	0,0	0,1	2,2	0,2	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	91	83	0,07	0,23	0,23	46	0,03	0,38	0	7,6	0,1	0,06	1,90	43	660	0,20	110	970	40	430	11,8	4,00	29,0	4,8	51,3	0	
Ost hårdost 17% fett	100	0,0	1 170	280	30,3	1,5	0,0	17,0	11,2	4,0	0,3	1,8	0,5	1,8	4,9	2,0	0,0	0,2	3,7	0,3	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	149	142	0,12	0,40	0,40	78	0,03	0,34	0	7,1	0,1	0,05	1,80	39	600	0,20	99	880	36	430	11,1	3,70	48,0	4,4	46,8	0	
Ost hårdost 23% fett	100	0,0	1 361	325	29,2	0,8	0,0	23,0	15,1	5,4	0,4	2,4	0,7	2,4	6,7	2,7	0,0	0,2	5,0	0,4	0,2	0,0	0,0	0,0	0,0	0,1	0,1	0,0	201	192	0,16	0,54	0,54	106	0,03	0,32	0	6,9	0,1	0,05	1,60	36	550	0,19	91	810	33	470	10,4	3,50	65,0	4,0	43,0	0	
Ost hårdost 26% fett	100	0,0	1 409	337	24,9	1,4	0,0	26,0	17,1	6,1	0,4	2,7	0,8	2,7	7,5	3,0	0,1	0,3	5,6	0,4	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	227	217	0,18	0,61	0,61	120	0,03	0,32	0	5,5	0,1	0,05	1,60	34	530	0,14	92	770	32	390	9,1	3,00	73,0	4,1	43,6	0	
Ost hårdost 28% fett	100	0,0	1 521	363	27,1	1,4	0,0	28,0	18,4	6,5	0,4	2,9	0,9	2,9	8,1	3,2	0,1	0,3	6,0	0,4	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	245	234	0,19	0,65	0,65	129	0,02	0,29	0	6,4	0,0	0,04	1,50	33	510	0,14	84	750	31	430	9,9	3,30	79,0	3,7	39,8	0	
Ost hårdost 31% fett	100	0,0	1 616	386	26,2	1,4	0,0	31,0	20,3	7,2	0,5	3,2	1,0	3,2	9,0	3,6	0,1	0,3	6,7	0,5	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	271	259	0,21	0,72	0,72	143	0,02	0,28	0	6,2	0,0	0,04	1,40	32	490	0,11	80	710	29	430	9,6	3,20	87,0	3,5	37,9	0	
Ost hårdost 38% fett	100	0,0	1 763	421	19,8	1,2	0,0	38,0	24,9	8,9	0,6	3,9	1,2	3,9	11,0	4,4	0,1	0,4	8,2	0,6	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	332	317	0,26	0,88	0,88	175	0,02	0,28	0	4,7	0,0	0,04	1,40	28	430	0,15	79	620	25	470	7,2	2,40	106,0	3,5	37,5	0	
Ost hårdost 5% fett	100	0,0	787	188	33,9	1,5	0,0	5,0	3,3	1,2	0,1	0,6	0,2	0,5	1,4	0,5	0,0	0,1	1,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	44	42	0,04	0,10	0,10	23	0,03	0,40	0	8,0	0,1	0,06	2,10	46	700	0,20	115	1 030	42	430	12,4	4,00	15,0	5,1	54,5	0	
Ost hårdost 7% fett	100	0,0	851	203	33,3	1,5	0,0	7,0	4,7	1,6	0,1	0,8	0,3	0,8	2,0	0,8	0,0	0,1	1,4	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	61	58	0,05	0,20	0,20	32	0,03	0,39	0	7,9	0,1	0,06	2,00	45	684	0,20	112	1 006	41	430	12,2	4,00	21,0	5,0	53,2	0	
Ost- o skinkpaj	100	0,7	1 162	278	12,8	15,9	0,0	18,0	8,4	6,6	2,1	0,6	0,4	0,7	5,0	1,1	0,0	0,1	6,4	1,7	0,6	0,0	0,0	0,0	0,0	0,4	1,9	0,1	184	181	1,65	2,01	2,01	45	0,15	0,19	2	4,0	1,3	0,14	0,64	21	196	0,72	179	169	20	403	7,4	1,35	92,5	1,9	50,6	4	
Ost- o skinkpaj fryst värmd	100	0,9	1 333	319	11,1	20,3	0,0	21,4	10,3	7,4	2,5	0,8	0,5	1,1	5,7	1,9	0,1	0,3	6,9	1,9	0,3	0,0	0,0	0,0	0,0	0,2	1,2	0,1	180	173	0,66	2,24	2,24	84	0,94	0,27	2	4,1	1,5	0,13	0,55	29	166	0,78	153	82	20	512	9,4	1,42	110,0	1,9	44,4	0	
Ost- o skinkpaj mellanmjölk matlagningsgrädde hemlagad	100	2,1	1 199	286	11,4	15,0	0,0	19,8	9,2	6,8	2,6	0,6	0,6	0,9	5,5	1,4	0,1	0,2	6,4	2,2	0,3	0,0	0,0	0,0	0,0	0,2	1,0	0,1	191	180	1,45	3,08	3,08	135	0,21	0,20	1	4,0	1,3	0,10	0,55	31	174	6,20	150	96	20	365	9,8	1,45	83,0	1,6	50,1	0	
Ost- o skinksås	100	0,1	581	139	8,6	7,4	0,0	8,3	3,7	3,2	1,1	0,5	0,2	0,5	1,6	0,7	0,0	0,1	3,0	0,7	0,3	0,0	0,0	0,0	0,0	0,0	4,2	0,0	43	40	0,12	0,93	0,93	36	0,09	0,16	0	2,5	0,7	0,07	0,52	6	153	0,21	196	163	17	606	3,3	1,10	24,8	2,3	73,2	0	
Ostbågar	100	11,0	2 113	505	9,8	44,0	0,0	30,0	9,5	17,8	1,4	0,3	0,2	0,6	4,2	3,7	0,2	0,1	17,2	1,3	0,1	0,0	0,0	0,0	0,0	0,6	1,9	0,4	17	0	0,00	0,00	0,00	204	0,01	0,03	0	1,9	0,9	0,01	0,10	14	225	0,90	240	59	2	160	1,0	0,10	0,0	3,6	1,6	0	
Ostkaka 7% fett	100	0,0	718	172	10,0	17,0	0,0	7,0	4,4	1,8	0,2	0,6	0,2	0,7	2,0	0,8	0,0	0,1	1,5	0,1	0,0	0,0	0,0	0,0	0,0	0,0	12,0	12,0	113	110	0,06	0,84	0,84	40	0,10	0,27	0	2,5	0,2	0,07	0,50	12	220	1,00	157	255	21	54	1,0	1,40	31,9	1,3	64,7	0	
Ostkaka 9% fett	100	0,0	766	183	10,1	15,8	0,0	8,8	5,7	2,3	0,2	0,8	0,3	0,9	2,5	1,0	0,0	0,1	2,0	0,2	0,1	0,0	0,0	0,0	0,0	0,0	16,0	13,0	113	110	0,06	0,84	0,84	40	0,10	0,27	0	2,6	0,2	0,07	0,50	12	220	1,00	157	255	21	54	1,0	1,40	41,0	1,3	64,0	0	
Ostkaka färskost	100	0,3	642	154	10,5	12,9	0,0	6,5	2,6	2,6	0,6	0,3	0,1	0,3	1,4	0,5	0,0	0,1	2,5	0,6	0,0	0,0	0,0	0,0	0,0	0,1	10,2	7,7	60	58	0,25	1,20	1,20	25	0,06	0,20	0	2,7	0,3	0,05	0,59	14	152	0,59	138	87	20	215	6,7	0,54	76,7	1,3	68,5	4	
Ostkaka lätt osockrad 3% fett	100	0,4	464	111	12,0	8,6	0,0	3,0	1,9	0,8	0,1	0,3	0,1	0,3	0,9	0,3	0,0	0,1	0,7	0,1	0,0	0,0	0,0	0,0	0,0	0,0	8,0	0,0	58	55	0,27	0,84	0,84	40	0,10	0,27	0	3,0	0,2	0,07	0,50	12	50	1,00	157	430	21	54	1,0	1,40	41,0	1,3	74,7	0	
Ostron	100	0,0	236	56	9,5	0,0	0,0	2,0	0,6	0,2	0,6	0,0	0,1	0,1	0,3	0,1	0,0	0,1	0,1	0,0	0,0	0,0	0,2	0,0	0,2	0,0	0,0	0,0	94	94	1,00	0,85	0,85	0	0,13	0,18	0	3,6	1,9	0,05	18,00	10	148	6,40	121	90	28	73	70,0	50,00	50,0	1,8	86,7	91	
Ostron konserv m lag	100	0,0	313	75	8,5	5,1	0,0	2,2	0,6	0,2	0,7	0,0	0,1	0,1	0,3	0,1	0,0	0,1	0,1	0,0	0,0	0,0	0,2	0,0	0,3	0,0	0,0	0,0	60	60	0,65	0,55	0,55	0	0,02	0,20	0	2,4	0,8	0,04	1,90	9	124	5,60	70	28	54	112	50,0	32,50	55,0	2,2	82,0	0	
Ostsufflé	100	0,1	916	219	14,4	6,7	0,0	15,0	8,2	4,5	0,8	1,1	0,4	1,1	4,1	1,4	0,0	0,2	4,1	0,6	0,2	0,0	0,0	0,0	0,0	0,1	2,0	0,0	170	165	0,70	1,03	1,03	60	0,06	0,25	0	3,6	0,2	0,07	0,95	21	268	0,70	134	305	20	260	11,5	1,37	159,6	1,9	61,8	4	
Ostsås	100	0,1	672	161	8,0	8,4	0,0	10,6	5,1	3,7	1,2	0,7	0,2	0,7	2,3	0,9	0,0	0,1	3,6	0,8	0,3	0,0	0,0	0,0	0,0	0,0	4,5	0,0	63	60	0,05	1,03	1,03	33	0,06	0,16	0	2,1	0,3	0,05	0,56	8	171	0,12	167	227	17	315	3,3	0,97	21,9	1,8	71,1	0	
Ostsås gorgonzola ädelost kaffe- o vispgrädde	100	0,2	1 672	400	4,5	3,0	0,0	41,7	19,9	15,0	4,6	2,8	0,9	2,9	8,7	3,6	0,2	0,3	14,4	3,2	1,4	0,0	0,0	0,0	0,0	0,3	2,3	0,0	242	231	0,19	4,12	4,12	137	0,04	0,13	2	1,3	0,2	0,06	0,32	11	86	0,12	110	105	10	302	1,3	0,79	80,2	1,4	49,2	1	
Ostsås till moussaka	100	0,1	574	137	9,2	7,5	0,0	7,8	4,0	2,4	0,4	0,5	0,1	0,5	2,0	0,7	0,0	0,2	2,2	0,3	0,0	0,0	0,0	0,0	0,0	0,1	3,6	0,0	101	98	0,43	0,64	0,64	35	0,07	0,24	0	2,4	0,3	0,07	0,79	15	178	0,65	168	173	17	444	9,1	0,77	132,2	2,0	73,3	3	
Oxbringa nöt	100	0,0	858	205	17,6	0,0	0,0	15,1	7,2	6,1	0,6	0,0	0,0	0,4	3,6	2,9	0,0	0,4	5,5	0,4	0,1	0,1	0,0	0,0	0,0	0,0	0,0	0,0	22	19	1,00	0,44	0,44	36	0,09	0,17	0	7,4	4,2	0,39	1,40	12	170	2,10	260	4	18	71	9,0	4,40	62,0	0,9	66,4	15	
Oxfilé nöt	100	0,0	511	122	20,6	0,0	0,0	4,4	1,9	1,9	0,2	0,0	0,0	0,1	1,0	0,7	0,0	0,1	1,7	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2	2	0,50	0,10	0,10	4	0,03	0,12	0	9,3	5,5	0,44	1,20	12	197	2,90	352	6	25	53	8,0	4,00	52,0	1,1	74,0	0	
Oxrulad nöt stekt	100	0,1	985	235	21,0	1,2	0,0	16,4	5,7	7,7	2,2	0,0	0,0	0,2	3,5	1,8	0,1	0,3	7,3	1,6	0,5	0,0	0,0	0,0	0,0	0,2	0,5	0,1	5	5	0,45	1,05	1,05	3	0,13	0,18	0	8,7	4,8	0,34	0,98	9	211	2,09	371	24	25	576	8,4	3,16	64,2	2,8	58,5	1	
Oxsvans nöt fett bortskuret	100	0,0	714	171	20,0	0,0	0,0	10,1	4,8	4,1	0,4	0,0	0,0	0,3	2,4	1,9	0,0	0,3	3,7	0,2	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	12	10	0,40	0,30	0,30	19	0,03	0,29	0	8,2	4,5	0,27	3,00	12	160	2,70	270	9	20	110	9,0	5,60	70,0	1,3	68,6	62	
