rökt renstek 7
rökt skinka 11
rökta räkor 15
rött vin 17
saffran 17
salladskrydda 17
salladslök 16
salsa 17
salsasås 17
salt 17
salta biten 11
saltgurka 16
salvia 17
sambal oelek 17
sardeller 5
savoykål 16
schalottenlök 16
sejfiléer 5
selleri 16
senap 17
sesamfrö 8
sesamolja 17
sherry 17
shiitakesvamp 17
sidfläsk 11
sirap 17
skagenröra 15
skalade räkor 15
skivad smörgåsmat 11
skogschampinjoner 16
skogssvamp 16
skånsk senap 17
smålökar 16
smält margarin 4
smält smör 4
smör 4
smördeg 2
smördegsplattor 2
socker 17
sockerärter 16
soja 13
sojasås 13
solrosfrön 8
solrosolja 17
solrosskott 8
soltorkade tomater 16
somennudlar 10
spaghetti 10
spenat 16
spiskummin 17
späd spenat 16
squash 16
stekt nötkött 1
stenbitsrom 5
strudeldeg 2
ströbröd 2
strömmingsfilé 5
strösocker 17
svamp 16
svarta oliver 16
svartpeppar 17
svartpepparkorn 17
svartvinbärsgelé 6
sweet chili 17
sweet chilisås 17
szechuanpepparkorn 17
söt chilisås 17
tabasco 17
tacokrydda 17
tacokryddmix 17
tacomix 17
tagliatelle 10
tahina 17
timjan 17
timjankvist 17
tomat 16
tomatjuice 16
tomatpuré 16
tonfisk 5
torkad dragon 17
torkade aprikoser 6
torrt vitt vin 17
torsk 5
torskfilé 5
tortellini 10
trattkantareller 16
tunnbröd 2
utskuren biff 1
valnötter 8
vatten 17
vattenkrasse 16
vattenmelon 6
vegetabilisk olja 17
vetemjöl 14
vildsvinsfärs 7
vildsvinsskinka 7
viltfond 7
vinäger 17
vispgrädde 4
vita bönor 13
vita bönor i tomatsås 13
vitkål 16
vitlök 16
vitlöksklyfta 16
vitlöksost 3
vitpeppar 17
vitpepparkorn 17
vitt bröd 2
vitt vin 17
vitvinsvinäger 17
våffelmix 2
vårlök 16
västerbottensost 3
wokgrönsaker 16
worcestershiresås 17
yoghurt 4
zucchini 16
ädelost 3
ägg 4
äggnudlar 10
äggula 4
älgfilé 7
älgfärs 7
älgkött 7
äppelcider 17
äppelcidervinäger 17
äpple 6
ärter 16
ättika 17
ättiksgurka 16
ättikssprit 17
ölkorv 11
örtkryddor 17
örtsalt 17
